iter	Passed	Remaining
0	445	444645
1	576	287636
2	718	238642
3	868	216357
4	1017	202510
5	1143	189425
6	1265	179567
7	1401	173760
8	1542	169866
9	1673	165694
10	1809	162723
11	1942	159904
12	2076	157655
13	2192	154421
14	2309	151626
15	2433	149629
16	2550	147488
17	2666	145462
18	2783	143714
19	2912	142730
20	3058	142606
21	3200	142276
22	3377	143482
23	3525	143374
24	3646	142222
25	3780	141640
26	3913	141037
27	4040	140271
28	4182	140042
29	4337	140235
30	4468	139681
31	4626	139944
32	4751	139243
33	4887	138853
34	5055	139382
35	5216	139677
36	5369	139742
37	5519	139739
38	5641	139012
39	5762	138289
40	5889	137757
41	6017	137258
42	6134	136520
43	6257	135963
44	6383	135466
45	6507	134959
46	6631	134460
47	6751	133907
48	6869	133330
49	6987	132759
50	7106	132245
51	7222	131668
52	7338	131132
53	7464	130764
54	7606	130695
55	7727	130267
56	7873	130256
57	7995	129864
58	8117	129467
59	8223	128840
60	8345	128471
61	8458	127976
62	8604	127980
63	8730	127679
64	8863	127498
65	8985	127161
66	9110	126863
67	9231	126531
68	9360	126292
69	9481	125973
70	9613	125783
71	9732	125444
72	9860	125218
73	9990	125021
74	10118	124793
75	10254	124667
76	10383	124467
77	10495	124061
78	10645	124107
79	10768	123837
80	10885	123501
81	11009	123248
82	11136	123040
83	11251	122695
84	11365	122351
85	11498	122201
86	11613	121874
87	11751	121787
88	11867	121475
89	11975	121086
90	12094	120808
91	12210	120514
92	12341	120367
93	12460	120101
94	12593	119970
95	12709	119681
96	12827	119414
97	12937	119077
98	13050	118769
99	13166	118499
100	13280	118206
101	13390	117892
102	13507	117635
103	13622	117360
104	13742	117141
105	13862	116919
106	13976	116645
107	14087	116354
108	14207	116133
109	14326	115914
110	14438	115634
111	14565	115480
112	14678	115216
113	14805	115066
114	14929	114892
115	15052	114708
116	15173	114516
117	15288	114276
118	15407	114065
119	15522	113832
120	15632	113562
121	15750	113352
122	15860	113090
123	15982	112909
124	16090	112632
125	16209	112438
126	16326	112226
127	16440	111997
128	16557	111793
129	16663	111514
130	16778	111301
131	16910	111200
132	17033	111039
133	17151	110844
134	17266	110630
135	17379	110411
136	17503	110259
137	17615	110031
138	17727	109805
139	17845	109624
140	17961	109423
141	18075	109213
142	18190	109018
143	18308	108835
144	18411	108561
145	18523	108348
146	18642	108176
147	18762	108012
148	18879	107827
149	18991	107616
150	19099	107388
151	19212	107188
152	19323	106971
153	19430	106742
154	19537	106509
155	19657	106349
156	19766	106132
157	19881	105950
158	19992	105745
159	20106	105556
160	20215	105347
161	20329	105163
162	20448	105004
163	20565	104832
164	20674	104623
165	20789	104450
166	20903	104266
167	21011	104059
168	21121	103858
169	21238	103692
170	21348	103496
171	21464	103327
172	21576	103142
173	21684	102938
174	21791	102732
175	21901	102540
176	22015	102366
177	22125	102175
178	22232	101969
179	22347	101804
180	22469	101672
181	22573	101456
182	22682	101266
183	22793	101084
184	22907	100916
185	23015	100724
186	23135	100582
187	23250	100422
188	23361	100245
189	23478	100093
190	23581	99879
191	23692	99707
192	23798	99510
193	23911	99342
194	24019	99157
195	24129	98981
196	24237	98795
197	24353	98643
198	24474	98512
199	24587	98350
200	24697	98176
201	24807	98002
202	24932	97886
203	25044	97724
204	25165	97592
205	25280	97440
206	25394	97285
207	25504	97112
208	25620	96967
209	25732	96802
210	25846	96648
211	25958	96486
212	26075	96345
213	26196	96218
214	26311	96068
215	26427	95922
216	26553	95813
217	26669	95666
218	26774	95484
219	26882	95310
220	26991	95142
221	27099	94971
222	27203	94785
223	27316	94632
224	27427	94473
225	27540	94318
226	27650	94159
227	27761	93998
228	27873	93845
229	27981	93678
230	28090	93511
231	28193	93330
232	28301	93164
233	28413	93010
234	28517	92833
235	28632	92693
236	28735	92512
237	28852	92376
238	28962	92220
239	29067	92046
240	29180	91901
241	29287	91734
242	29402	91596
243	29517	91456
244	29625	91293
245	29741	91160
246	29861	91034
247	29993	90947
248	30115	90831
249	30228	90685
250	30343	90548
251	30465	90428
252	30584	90302
253	30712	90202
254	30834	90085
255	30952	89955
256	31107	89933
257	31409	90331
258	31522	90184
259	31628	90020
260	31736	89859
261	31840	89687
262	31947	89525
263	32056	89368
264	32169	89223
265	32277	89066
266	32384	88906
267	32491	88746
268	32594	88575
269	32709	88436
270	32824	88299
271	32935	88150
